Time,NewReno_1_Bps,Cubic_2_Bps,Bbr_3_Bps,Dctcp_4_Bps,NewReno_1_PktLoss,Cubic_2_PktLoss,Bbr_3_PktLoss,Dctcp_4_PktLoss,NewReno_1_Cwnd,Cubic_2_Cwnd,Bbr_3_Cwnd,Dctcp_4_Cwnd,JainsFairnessIndex
0.4,421080,421080,376080,301080,36,28,15,12,53576,47784,36200,30408,0.983605
0.5,540000,360000,225000,120000,36,40,32,36,65535,65535,59368,53576,0.796969
0.6,165000,180000,360000,540000,33,44,44,34,65535,65535,65535,65535,0.80592
0.7,480000,420000,285000,60000,48,41,38,40,69080,59768,56285,65535,0.788215
0.8,345000,180000,255000,480000,29,42,46,46,65769,55868,55868,55868,0.888218
0.9,285000,420000,330000,210000,35,35,34,35,44445,38535,46462,53215,0.943699
1,435000,180000,285000,345000,16,38,31,40,31698,39847,38535,45192,0.918533
1.1,120000,360000,300000,465000,15,29,37,26,25428,36939,36435,29772,0.860695
1.2,315000,270000,390000,285000,14,28,27,24,29772,25988,25988,31220,0.978912
1.3,375000,270000,285000,315000,12,27,25,30,31220,27436,27436,32668,0.983581
1.4,375000,270000,285000,315000,14,30,25,32,32668,28884,28884,34116,0.983581
1.5,345000,270000,285000,345000,14,31,25,32,34116,30332,30332,35564,0.988095
1.6,300000,285000,315000,345000,19,33,25,34,35564,31780,31780,37012,0.994945
1.7,360000,285000,240000,375000,14,33,30,34,37012,33228,33228,38460,0.970297
1.8,270000,315000,285000,375000,17,35,34,29,38460,34676,34676,38460,0.983581
1.9,180000,315000,345000,405000,32,37,32,19,39908,36124,36124,39908,0.934482
2,390000,345000,345000,165000,33,35,28,27,41356,37572,37572,41356,0.928437
2.1,405000,330000,255000,270000,35,31,25,36,42804,37572,37572,42804,0.966046
2.2,435000,195000,210000,405000,28,31,30,38,42804,39020,39020,44252,0.890052
2.3,270000,255000,285000,435000,17,39,38,38,44252,40468,40468,45700,0.948898
2.4,165000,375000,405000,300000,37,41,32,26,45700,41916,41916,45700,0.918533
2.5,465000,330000,255000,195000,37,35,27,38,47148,41916,41916,47148,0.905018
2.6,450000,135000,240000,435000,25,41,34,42,47148,43364,43364,48596,0.848893
2.7,30000,375000,345000,495000,38,43,40,21,48596,44812,44812,48596,0.766466
2.8,480000,420000,315000,30000,39,37,25,42,50044,44812,44812,50044,0.764425
2.9,495000,75000,210000,465000,26,43,36,44,50044,46260,46260,51492,0.758366
3,0,405000,375000,480000,41,45,42,22,51492,47708,47708,51492,0.7418
3.1,525000,330000,315000,75000,41,41,27,42,52940,47708,47708,52940,0.791839
3.2,360000,165000,225000,495000,25,47,39,46,52940,49156,49156,54388,0.856415
3.3,165000,465000,420000,195000,43,44,35,35,54388,49156,49156,54388,0.846314
3.4,555000,240000,90000,360000,34,35,44,45,54388,50604,50604,54388,0.769893
3.5,60000,255000,405000,540000,38,49,46,30,54388,52052,52052,55836,0.757082
3.6,480000,360000,360000,45000,43,47,28,45,55836,52052,52052,55836,0.788215
3.7,375000,195000,165000,510000,25,46,46,48,57284,52052,53500,57284,0.831603
3.8,180000,480000,450000,135000,45,39,40,44,57284,53500,53500,58732,0.801419
3.9,570000,75000,165000,450000,32,49,42,48,58732,54948,54948,58732,0.708434
4,15000,450000,465000,315000,45,51,39,38,58732,54948,54948,60180,0.747829
4.1,570000,315000,90000,270000,58,37,48,50,84233,56396,56396,60180,0.767149
4.2,0,240000,450000,555000,65,51,50,36,85429,56396,56465,68999,0.682079
4.3,600000,360000,150000,135000,63,51,50,61,55241,66573,62237,85239,0.730696
4.4,154360,240000,360000,500400,52,65,66,57,55241,79546,76638,53664,0.853018
4.5,375000,360000,510000,0,74,67,34,64,70143,59508,52128,53664,0.730696
4.6,330000,195000,195000,525000,58,73,54,63,68319,60423,52057,49793,0.841353
4.7,330000,510000,420000,0,65,54,49,63,51256,50989,49645,49793,0.727723
4.8,525000,75000,135000,510000,52,70,54,64,58732,50989,49645,52689,0.692501
4.9,0,440720,465000,345000,72,87,56,43,60738,71660,51093,52689,0.738597
5,630000,360000,75000,180000,63,69,53,66,49238,71362,51093,54137,0.686429
5.1,30000,270000,420000,525000,61,75,55,46,49238,44527,47853,50705,0.736949
5.2,465000,450000,330000,0,65,57,54,65,50686,44527,47853,50705,0.734435
5.3,525000,30000,195000,510000,45,75,55,66,52134,45975,49301,50705,0.690681
5.4,0,420000,450000,375000,65,76,58,45,52134,47423,50749,52153,0.745886
5.5,525000,240000,330000,150000,67,69,46,67,53582,48871,50749,52153,0.834019
5.6,255000,255000,195000,540000,50,76,58,66,53582,48871,52197,53601,0.843
5.7,300000,465000,480000,0,67,68,48,68,55030,50319,52197,53601,0.722117
5.8,555000,45000,105000,555000,49,77,60,68,56478,50319,53645,55049,0.630901
5.9,0,450000,495000,300000,69,80,60,48,56478,51767,55093,55049,0.720908
6,585000,165000,240000,255000,69,71,48,70,57926,51767,55093,56497,0.787494
6.1,0,360000,315000,570000,69,80,62,51,57926,53215,56541,57945,0.699817
6.2,585000,330000,330000,15000,71,71,52,70,59374,54663,56541,57945,0.708434
6.3,210000,210000,255000,570000,57,81,62,64,59374,54663,57989,55606,0.810471
6.4,390000,510000,345000,0,71,63,61,70,58521,52457,57989,55606,0.729458
6.5,390000,0,285000,570000,54,83,58,72,58521,52457,57989,58502,0.694176
6.6,210000,540000,495000,0,72,79,47,72,59969,55353,55795,58502,0.66728
6.7,600000,30000,45000,585000,54,83,63,72,59375,55353,55795,57823,0.562859
6.8,0,525000,495000,225000,73,84,59,57,59375,53389,55795,57823,0.678318
6.9,615000,150000,135000,345000,69,74,59,73,60823,53389,55795,57823,0.720305
7,0,375000,435000,435000,73,85,65,53,60823,53389,55212,57823,0.746532
7.1,600000,195000,330000,135000,74,82,47,74,60451,53389,55212,57300,0.755784
7.2,90000,345000,225000,585000,68,87,64,59,60451,56285,53376,58748,0.74524
7.3,480000,450000,315000,0,77,67,65,75,60451,56285,56272,58748,0.728224
7.4,285000,120000,240000,600000,58,88,65,74,60451,57733,56272,60196,0.755042
7.5,285000,585000,375000,0,80,74,60,76,58794,59181,54627,60196,0.686976
7.6,465000,0,195000,600000,64,88,64,76,58794,59181,54627,58436,0.646154
7.7,105000,570000,480000,90000,82,89,53,70,58794,57559,54627,58436,0.674599
7.8,570000,105000,60000,510000,69,82,69,77,58794,57559,54538,61332,0.646248
7.9,0,465000,480000,300000,84,90,70,57,57283,57559,54538,61332,0.722117
8,585000,135000,255000,285000,84,82,57,80,57316,57559,54538,61167,0.783304
