Time,Flow1_NewReno_Bps,Flow2_Cubic_Bps,Flow3_Bbr_Bps,Flow4_Dctcp_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow3_PktLoss,Flow4_PktLoss,Flow1_Cwnd,Flow2_Cwnd,Flow3_Cwnd,Flow4_Cwnd,JainsFairnessIndex
0.4,616080,151080,151080,560,23,18,0,11,53576,27512,14480,14480,0.496345
0.5,825000,270000,0,150520,24,36,18,0,65535,53576,27512,14480,0.499664
0.6,525000,450000,270000,0,30,30,36,18,66983,65535,53576,27512,0.703246
0.7,480000,360000,150000,270000,45,26,26,0,68431,65535,53576,27512,0.871542
0.8,525000,330000,390000,0,31,33,40,36,69879,66983,65535,53576,0.722117
0.9,300000,375000,90000,480000,45,42,38,4,69879,66983,65535,53576,0.826019
1,435000,240000,510000,60000,43,37,31,44,71327,68431,66983,65535,0.759035
1.1,465000,495000,60000,225000,45,42,45,29,72775,68431,66983,65535,0.751746
1.2,330000,90000,405000,435000,43,45,28,27,72775,69879,66983,66983,0.844019
1.3,390000,585000,270000,0,45,26,41,45,72775,69879,68431,66983,0.683161
1.4,465000,120000,225000,435000,45,47,36,20,74223,71327,68431,66983,0.823649
1.5,285000,330000,390000,240000,46,35,35,39,74223,71327,69879,68431,0.96919
1.6,540000,405000,210000,105000,45,45,37,40,75671,72775,69879,68431,0.777093
1.7,300000,210000,315000,420000,48,43,34,30,77119,72775,69879,68431,0.945772
1.8,420000,435000,210000,180000,44,36,41,41,77119,72775,71327,69879,0.876463
1.9,420000,255000,330000,240000,47,45,39,31,78567,74223,71327,69879,0.949945
2,360000,315000,255000,315000,45,40,43,35,78567,74223,72775,71327,0.985833
2.1,435000,375000,300000,150000,47,42,37,37,80015,75671,72775,65452,0.897253
2.2,360000,270000,315000,300000,48,43,35,22,81677,77132,66366,61720,0.98923
2.3,420000,390000,210000,225000,44,34,33,24,73085,69005,59871,50058,0.915603
2.4,435000,360000,330000,120000,37,28,21,26,62726,55827,51061,47113,0.876463
